,index,question,answer,keywords
0,0,What is COVID-19?,"COVID-19 is the disease caused by a new coronavirus called SARS-CoV-2. WHO first learned of this new virus on 31 December 2019, following a report of a cluster of cases of ‘viral pneumonia’ in Wuhan, People’s Republic of China.","['cov', 'diseas', 'aadhaar', 'sar', 'cluster', 'case', 'caus', 'pneumonia', 'peopl', 'viral', 'learn', 'aarogya', 'abattoir', 'abhishek', 'abid', 'china', 'coronaviru', 'wuhan', 'report', 'covid', 'abdomin', 'decemb', 'first', 'abil', 'abl', 'republ', 'viru', 'call', 'new', 'follow']"
1,1,What are the symptoms of COVID-19?,"The most common symptoms of COVID-19 are
Fever
Dry cough
Fatigue
Other symptoms that are less common and may affect some patients include:
Loss of taste or smell,
Nasal congestion,
Conjunctivitis (also known as red eyes)
Sore throat,
Headache,
Muscle or joint pain,
Different types of skin rash,
Nausea or vomiting,
Diarrhea,
Chills or dizziness.
Symptoms of severe COVID‐19 disease include:
Shortness of breath,
Loss of appetite,
Confusion,
Persistent pain or pressure in the chest,
High temperature (above 38 °C).
Other less common symptoms are:
Irritability,
Confusion,
Reduced consciousness (sometimes associated with seizures),
Anxiety,
Depression,
Sleep disorders,
More severe and rare neurological complications such as strokes, brain inflammation, delirium and nerve damage.
People of all ages who experience fever and/or cough associated with difficulty breathing or shortness of breath, chest pain or pressure, or loss of speech or movement should seek medical care immediately. If possible, call your healthcare provider, hotline or health facility first, so you can be directed to the right clinic.
","['brain', 'stroke', 'chest', 'breath', 'confus', 'short', 'red', 'chill', 'appetit', 'symptom', 'congest', 'pain', 'delirium', 'rash', 'dri', 'nasal', 'seizur', 'conscious', 'cough', 'vomit', 'joint', 'loss', 'pressur', 'associ', 'common', 'conjunct', 'neurolog', 'nerv', 'fever', 'le']"
2,2,What happens to the people who get COVID-19?,"Among those who develop symptoms, most (about 80%) recover from the disease without needing hospital treatment. About 15% become seriously ill and require oxygen and 5% become critically ill and need intensive care.
Complications leading to death may include respiratory failure, acute respiratory distress syndrome (ARDS), sepsis and septic shock, thromboembolism, and/or multiorgan failure, including injury of the heart, liver or kidneys.
In rare situations, children can develop a severe inflammatory syndrome a few weeks after infection. 
","['becom', 'distress', 'recov', 'injuri', 'ill', 'develop', 'acut', 'inflammatori', 'serious', 'situat', 'kidney', 'ard', 'shock', 'intens', 'thromboembol', 'failur', 'complic', 'liver', 'multiorgan', 'oxygen', 'syndrom', 'rare', 'heart', 'septic', 'includ', 'happen', 'lead', 'sepsi', 'need', 'respiratori']"
3,3,"Who is most at risk of severe illness from COVID-19?
","People aged 60 years and over, and those with underlying medical problems like high blood pressure, heart and lung problems, diabetes, obesity or cancer, are at higher risk of developing serious illness. 
However, anyone can get sick with COVID-19 and become seriously ill or die at any age. 
","['anyon', 'becom', 'year', 'aadhaar', 'like', 'ill', 'develop', 'sever', 'serious', 'risk', 'sick', 'peopl', 'cancer', 'blood', 'problem', 'underli', 'obes', 'age', 'howev', 'lung', 'medic', 'seriou', 'get', 'die', 'diabet', 'covid', 'pressur', 'heart', 'higher', 'high']"
4,4,"Are there long-term effects of COVID-19?
","Some people who have had COVID-19, whether they have needed hospitalization or not, continue to experience symptoms, including fatigue, respiratory and neurological symptoms.
WHO is working with our Global Technical Network for Clinical Management of COVID-19, researchers and patient groups around the world to design and carry out studies of patients beyond the initial acute course of illness to understand the proportion of patients who have long term effects, how long they persist, and why they occur.  These studies will be used to develop further guidance for patient care.  
","['occur', 'whether', 'global', 'guidanc', 'symptom', 'acut', 'understand', 'world', 'hospit', 'beyond', 'cours', 'patient', 'persist', 'carri', 'initi', 'design', 'manag', 'term', 'covid', 'fatigu', 'studi', 'around', 'technic', 'effect', 'experi', 'long', 'proport', 'network', 'neurolog', 'respiratori']"
5,5,How can we protect others and ourselves if we don’t know who is infected?,"Stay safe by taking some simple precautions, such as physical distancing, wearing a mask, especially when distancing cannot be maintained, keeping rooms well ventilated, avoiding crowds and close contact, regularly cleaning your hands, and coughing into a bent elbow or tissue. Check local advice where you live and work. Do it all!
","['work', 'live', 'simpl', 'physic', 'close', 'ventil', 'clean', 'cannot', 'stay', 'maintain', 'bent', 'elbow', 'advic', 'cough', 'distanc', 'wear', 'local', 'room', 'check', 'especi', 'know', 'keep', 'contact', 'avoid', 'safe', 'precaut', 'tissu', 'crowd', 'well', 'regularli']"
6,6,"When should I get a test for COVID-19?
","Anyone with symptoms should be tested, wherever possible. People who do not have symptoms but have had close contact with someone who is, or may be, infected may also consider testing – contact your local health guidelines and follow their guidance.  
While a person is waiting for test results, they should remain isolated from others. Where testing capacity is limited, tests should first be done for those at higher risk of infection, such as health workers, and those at higher risk of severe illness such as older people, especially those living in seniors’ residences or long-term care facilities.
","['anyon', 'resid', 'capac', 'senior', 'remain', 'close', 'guidanc', 'symptom', 'older', 'peopl', 'risk', 'done', 'test', 'may', 'result', 'isol', 'wherev', 'health', 'guidelin', 'local', 'term', 'especi', 'contact', 'limit', 'worker', 'higher', 'wait', 'infect', 'someon', 'facil']"
7,7,"What test should I get to see if I have COVID-19?
","1. COVID-19 and influenza are both respiratory diseases.
Both viruses share similar symptoms, including cough, runny nose, sore throat, fever, headache and fatigue. People may have varying levels of illness with both COVID-19 and influenza. Some may have no symptoms, mild symptoms or severe disease. Both influenza and COVID-19 can be fatal.
2. COVID-19 and influenza spread in similar ways.
Both COVID-19 and influenza are spread by droplets and aerosols when an infected person coughs, sneezes, speaks, sings or breathes. The droplets and aerosols can land in the eyes, nose or mouth of people who are nearby -- typically within 1 meter of the infected person, but sometimes even further away. People can also get infected with both COVID-19 and influenza by touching contaminated surfaces, then touching their eyes, nose or mouth without cleaning their hands.  
3. Some of the same groups have a higher risk for severe illness from COVID-19 and influenza.
While all age groups can be infected with both the COVID-19 virus and influenza virus, these people are at higher risk for severe disease and death from both COVID-19 and influenza:
older adults;
people of any age with chronic medical conditions (such as chronic cardiac, pulmonary, renal, metabolic, neurologic, liver or hematologic diseases); and
people with immunosuppressive conditions (such as HIV/AIDS, patients receiving chemotherapy or steroids, or malignancy)
Healthcare workers are at high risk of getting infected by COVID-19 and at high risk of getting infected by influenza.
Pregnant people and those who have recently given birth are at high risk for experiencing severe influenza and severe COVID-19.  
4. The same protective measures are effective against COVID-19 and influenza.
To protect against COVID-19 and influenza, follow these public health and social measures:
Maintain at least a 1-meter distance from others and wear a well-fitted mask when that’s not possible;
Avoid crowded and poorly ventilated places and settings;
Open windows or doors to keep rooms well ventilated;
Cough or sneeze into a bent elbow or tissue and throw the tissue into a closed bin;
Clean your hands frequently
Avoid touching your eyes, nose and mouth;
Stay home if you don’t feel well; and
Contact your medical provider if you have any of the following severe severe symptoms of COVID-19, including:
Shortness of breath,
Loss of appetite,
Confusion,
Persistent pain or pressure in the chest,
High temperature (above 38 °C)
Vaccination is an important part of preventing severe disease and death for both COVID-19 and influenza. Follow the advice of your local authorities on getting the influenza and COVID-19 vaccines. WHO recommends the influenza vaccine for older individuals, young children, pregnant people, people with underlying health conditions, and health workers.
COVID-19 vaccines are safe for most people 18 years and older, including those with pre-existing conditions of any kind, including auto-immune disorders. These conditions include: hypertension, diabetes, asthma, pulmonary, liver and kidney disease, as well as chronic infections that are stable and controlled.
If supplies are limited in your area, discuss your situation with your care provider if you:
Have a compromised immune system
Are pregnant or nursing your baby
Have a history of severe allergies, particularly to a vaccine (or any of the ingredients in the vaccine)
Are severely frail
People with mild symptoms of both COVID-19 and influenza can usually be cared for safely at home. 
5. There are safe and effective vaccines for both COVID-19 and influenza.
COVID-19 vaccines have been proven to protect against severe illness and death caused by COVID-19 disease. Millions of people around the world have safely received COVID-19 vaccines, and the vaccines have met rigorous standards for safety, effectiveness and quality. Getting vaccinated may also protect the people around you. If you are protected from getting COVID-19, you are less likely to infect someone else. COVID-19 vaccines do not protect against influenza.
WHO recommends vaccinations each year to prevent severe influenza disease in high-risk groups: pregnant people, individuals with underlying health conditions, older adults, health workers, and young children. ","['diseas', 'pregnant', 'group', 'pulmonari', 'nose', 'older', 'symptom', 'sever', 'peopl', 'protect', 'risk', 'eye', 'touch', 'liver', 'get', 'aerosol', 'cough', 'health', 'influenza', 'covid', 'condit', 'safe', 'mouth', 'includ', 'vaccin', 'worker', 'chronic', 'high', 'infect', 'well']"
8,8,What about rapid tests?,"Rapid antigen tests (sometimes known as a rapid diagnostic test – RDT) detect viral proteins (known as antigens). Samples are collected from the nose and/or throat with a swab. These tests are cheaper than PCR and will offer results more quickly, although they are generally less accurate. These tests perform best when there is more virus circulating in the community and when sampled from an individual during the time they are most infectious.","['sampl', 'infecti', 'commun', 'collect', 'le', 'throat', 'accur', 'nose', 'swab', 'test', 'known', 'diagnost', 'viral', 'circul', 'result', 'pcr', 'although', 'offer', 'cheaper', 'protein', 'rapid', 'quickli', 'sometim', 'antigen', 'perform', 'individu', 'gener', 'rdt', 'detect', 'best']"
9,9,"I want to find out if I had COVID-19 in the past, what test could I take? 
","Antibody tests can tell us whether someone has had an infection in the past, even if they have not had symptoms. Also known as serological tests and usually done on a blood sample, these tests detect antibodies produced in response to an infection. In most people, antibodies start to develop after days to weeks and can indicate if a person has had past infection. Antibody tests cannot be used to diagnose COVID-19 in the early stages of infection or disease but can indicate whether or not someone has had the disease in the past.","['sampl', 'diseas', 'even', 'whether', 'usual', 'want', 'diagnos', 'cannot', 'done', 'tell', 'test', 'find', 'known', 'earli', 'blood', 'person', 'week', 'day', 'past', 'produc', 'indic', 'start', 'antibodi', 'detect', 'infect', 'serolog', 'could', 'someon', 'respons', 'stage']"
